Código,Nome,Volume,Última (R$),Variação
BEES4,Banestes,26.500,10,65,-8,19%
FHER3,Fertilizantes Heringer,24.900,14,89,+0,13%
VSTE3,LE LIS BLANC,22.700,18,29,+0,49%
UNIP3,Unipar,21.100,75,24,+0,45%
COCE5,Coelce,18.100,56,84,+1,99%
BEES3,Banestes,17.600,9,03,-1,20%
BRSR3,Banrisul,17.100,14,74,+1,24%
CTSA3,Santanense,16.700,4,35,-0,23%
DMVF3,D1000 Varejo Farma,16.300,4,72,+0,85%
OSXB3,OSX Brasil,14.700,5,30,+1,92%
BIOM3,Biomm,14.400,6,05,-3,20%
LAND3,Terra Santa,13.200,23,45,-0,21%
ENGI4,Energisa,12.700,8,27,-0,36%
ALUP4,Alupar,10.600,9,92,-0,70%
ALUP3,Alupar,8.800,9,88,-0,20%
PTNT4,Pettenati,8.800,6,78,+1,65%
RDNI3,RNI,8.200,6,17,-2,06%
CGRA4,Grazziotin,8.100,31,49,+0,61%
ALPA3,Alpargatas,7.300,11,42,+1,06%
CGRA3,Grazziotin,6.600,30,96,+0,85%
EALT4,Electro Aço Altona,6.500,8,19,+0,12%
CEED3,CEEE D,6.300,20,50,-6,22%
BPAC5,Banco BTG Pactual,6.300,7,64,+1,87%
UCAS3,Unicasa,6.300,2,86,+2,14%
CEBR5,CEB,5.800,12,60,+0,00%
CEBR3,CEB,5.000,12,41,-1,27%
DOHL4,Döhler,5.000,5,56,-3,64%
TELB4,Telebras,4.800,12,78,+4,75%
BRIV3,Alfa Investimento,4.800,9,02,-7,96%
ENGI3,Energisa,4.700,13,73,-2,07%
BMEB4,Banco Mercantil do Brasil,4.700,10,71,-0,65%
CEDO4,Cedro Têxtil,4.700,9,08,+0,78%
PTNT3,Pettenati,4.600,8,98,-1,32%
RSUL4,Metalúrgica Riosulense,4.100,62,50,-0,62%
OFSA3,Ourofino Saúde Animal,4.100,25,00,-1,57%
WHRL3,Whirlpool,4.000,4,66,+0,00%
BAZA3,Banco da Amazônia,3.900,68,00,+0,22%
MTSA4,METISA,3.600,42,98,+0,87%
BPAC3,Banco BTG Pactual,3.500,15,63,-0,45%
WHRL4,Whirlpool,3.300,4,72,+0,00%
EUCA3,Eucatex,3.000,15,70,-0,25%
MWET4,Wetzel,3.000,11,00,-4,26%
REDE3,Rede Energia,3.000,5,63,+0,54%
CLSC4,Celesc,2.500,56,92,-0,05%
