Código;Nome;Volume;Última (R$);Variação
LIPR3;Eletropar;200;72,8;0
CEEB3;COELBA;200;39;0,69
PATI3;Panatlântica;200;38,4;6,67
EALT3;Electro Aço Altona;200;8,59;0,12
MNDL3;Mundial;100;55,97;1,67
BGIP3;Banese;100;25,13;-1,37
BGIP4;Banese;100;22,38;0,81
CSRN6;COSERN;100;22,23;0,22
CSRN3;COSERN;100;22;-8,3
JOPA3;Josapar;100;21,12;-2,04
BMIN4;Banco Mercantil de Investimentos;100;14,6;2,1
BMEB3;Banco Mercantil do Brasil;100;12,37;0,56
DMFN3;DMFN3;100;11,87;-18,75
MERC4;Mercantil do Brasil Financeira;100;7,36;-1,21
ESTR4;Estrela;100;7,1;5,97
NORD3;Nordon;100;5,96;0,17
BMKS3;Monark;9;370;0
TEKA4;Teka;14200;17,36;8,57
EMAE4;EMAE;3100;68,49;0,43
DTCY3;Dtcom;2500;5,65;-2,59
CPLE5;Copel;1700;25,6;0,39
BSLI4;Banco de Brasília;600;12,12;-1,14
EKTR4;Elektro;500;36,5;-4,58
CSAB4;Cia. de Seg. Aliança da Bahia;300;40,1;0,25
BRIV4;Alfa Investimento;300;9,8;-2,68
CRIV4;Alfa Financeira;300;5,35;0
CRPG3;Tronox Pigmentos;100;40;-20
CSAB3;Cia. de Seg. Aliança da Bahia;100;32,11;0,34
BMIN3;Banco Mercantil de Investimentos;100;27,35;-1,19
CBEE3;Ampla Energia;100;14,42;-1,23
BRSR5;Banrisul;2100;18,75;-5,06
EQMA3B;Equatorial Maranhão;1100;24,1;0
BRGE3;Consórcio Alfa;1100;9,77;-1,31
PEAB3;Participações Aliança da Bahia;1000;33,29;5,35
TKNO4;Tekno;800;58,1;3,59
BSLI3;Banco de Brasília;500;16,95;0
MAPT3;Cemepe;300;30,5;0
HBTS5;Habitasul;200;42;2,44
SOND5;Sondotécnica;100;45;12,5
BALM3;Baumer;100;12;9,09
RPAD5;Alfa Holdings;5600;6,92;-2,54
BNBR3;Banco do Nordeste;200;80,21;0,1
BRKM6;Braskem;200;20,5;9,04
CSRN5;COSERN;100;25,98;0,04
AFLT3;Afluente T;100;9,4;-2,38
LUXM4;Trevisa;3900;21,49;0,05
CGAS3;Comgás;200;128;0,38
AHEB3;São Paulo Turismo;100;22,1;0
AHEB6;São Paulo Turismo;100;18,51;-11,86
PEAB4;Participações Aliança da Bahia;400;63,1;5,38
CRDE3;CR2;400;16;0
BDLL3;Bardella;200;13,1;0,92
RPAD6;Alfa Holdings;200;6,77;1,04
ESTR3;Estrela;100;19,95;-1,34
FESA3;Ferbasa;400;58,9;-7,35
USIM6;Usiminas;100;14,8;0
RPAD3;Alfa Holdings;700;7,45;6,13
IGBR3;IGB Eletrônica;700;175,99;1,14
ELET5;Eletrobras;100;70,51;0
COCE3;Coelce;100;48,62;3,45
BRGE11;Consórcio Alfa;100;9,99;2,04
BRGE8;Consórcio Alfa;100;9,95;2,58
BRGE6;Consórcio Alfa;400;9,45;-9,57
FRIO3;Metalfrio;100;22,21;-3,48
CALI3;Adolpho Lindenberg;100;11,11;0
MSPA4;Melhoramentos;100;40;0
MRSA6B;MRS Logística;200;22;-4,6
BRGE7;Consórcio Alfa;400;9,29;26,22
AHEB5;São Paulo Turismo;100;18,5;0
DOHL3;Döhler;100;10;0
JOPA4;Josapar;200;34,21;-2,56
MWET3;Wetzel;200;13,28;-55,7
EKTR3;Elektro;100;34,92;-3,19
BRGE12;Consórcio Alfa;400;9,9;0,1
ODER4;Conservas Oderich;100;100;12,35
CEEB5;COELBA;100;35,24;0,09
EQPA7;Equatorial Energia Pará;300;7,1;-12,38
PARD3;Hermes Pardini;1855100;18,1;1,23
CASN3;CASAN;100;10,43;-18,58
WLMM3;WLM;500;20;-9,09
MAPT4;Cemepe;200;6,82;-33,2
CEED4;CEEE D;100;30;-14,29
GPAR3;CELGPAR;200;41,92;-8,87
MTSA3;METISA;200;75;0
SOND6;Sondotécnica;600;32,35;0
MRSA5B;MRS Logística;100;27;22,39
WIZS3;WIZS3;779400;7,16;1,99
LLIS3;LLIS3;249800;1,73;2,98
MSPA3;Melhoramentos;400;46,25;-7,52
BRML3;BRMalls;16132900;8,26;2,35
DMMO3;Dommo Energia;3254800;1,76;-1,12
EQPA5;Equatorial Energia Pará;100;8,64;0,93
GETT3;Getnet;46500;2,4;1,27
GETT4;Getnet;18500;2,4;1,27
SULA4;SulAmérica;18600;7,63;5,53
SULA3;SulAmérica;4000;7,43;1,5
CTKA3;Karsten;200;21,46;-1,2
BRGE5;Consórcio Alfa;800;11,53;15,3
MRSA3B;MRS Logística;100;26;4
CEPE5;CELPE;100;40,12;0,02
MERC3;Mercantil do Brasil Financeira;100;15,11;-5,56
TCNO4;Tecnosolo;36800;0,85;-9,57
TCNO3;Tecnosolo;3400;1,2;-1,64
CEPE6;CELPE;100;43;6,17
BKBR3;BKBR3;782300;7,63;0,26
MTIG4;Metalgráfica Iguaçu;100;23;0
BLUT4;Blue Tech Solutions;171100;1,52;-5,59
BLUT3;Blue Tech Solutions;13400;5,14;0,59
MODL4;Banco Modal;700;2,72;-2,16
CARD3;CARD3;118000;14,51;1,82
SHUL3;Schulz;100;27,94;-50,12
FIGE3;Investimentos Bemge;100;12,3;99,83
FNCN3;Finansinos;4800;14,25;0,35
TEKA3;Teka;100;8,23;1,73
HETA3;Hercules;200;96;0
LCAM3;Locamerica;26118900;24,15;1,86
BIDI4;Banco Inter;52479800;3,41;-2,01
BIDI3;Banco Inter;15262400;3,4;-2,58
EEEL4;CEEE GT;100;410;-4,27
EEEL3;CEEE GT;400;421,1;5,25
BBRK3;BBRK3;1279600;0,8;1,27
SOND3;Sondotécnica;200;46,1;14,45
CEGR3;Naturgy (CEG);100;89;11,4
CESP6;CESP;9306600;25,25;1,41
CESP3;CESP;11500;25,55;1,71
CESP5;CESP;300;25;2,75
ECPR4;Encorpar;100;90,74;0,42
MOSI3;Mosaico;1021200;8,24;3
POWE3;Focus Energia;678000;10,9;-2,24
EQPA6;Equatorial Energia Pará;600;10,69;0,09
ECPR3;Encorpar;300;90,25;12,97
GNDI3;NotreDame Intermédica;33458600;65,34;0
LAME4;Lojas Americanas;43631000;6,55;2,02
LAME3;Lojas Americanas;10941100;6,62;2,95
OMGE3;Omega Geração;834900;27,57;0,86
IGTA3;IGTA3;1641100;33,13;0,18
JPSA3;JPSA3;100100;29,2;1,75
BRDT3;BRDT3;24483500;22,3;-5,17
JBDU4;JBDU4;2556100;1,36;3,82
JBDU3;JBDU3;1890100;3,12;9,09
HGTX3;Hering;7519800;37,5;-2,65
CCPR3;CCPR3;328200;10,16;-4,51
DTEX3;DTEX3;2875600;20,63;-3,1
VVAR3;VVAR3;65670600;11,3;-6,38
PNVL4;Dimed;2000;18,62;-2,67
TESA3;Terra Santa;41100;48;-2,74
BTOW3;BTOW3;11169600;68;4,15
LINX3;Linx;8510000;37,4;0,27
BTTL3;Embpar;6100;19,72;-2,33
GPCP3;GPCP3;698100;49;-3,92
GPCP4;GPCP4;5300;45,51;-1,3
SMLS3;Smiles;1944100;22,4;-1,71
MMXM3;MMX Mineração;1240300;14;-30,35
BSEV3;Biosev;528800;9;8,43
CNTO3;CNTO3;2083600;28,8;4,78
TIET4;AES Tietê Energia;323700;3,51;1,15
TIET3;AES Tietê Energia;169100;3,49;0,87
CORR4;Corrêa Ribeiro;100;82;18,84
CEPE3;CELPE;1300;128;85,32
CALI4;Adolpho Lindenberg;100;50;4,17
SNSY6;Sansuy;100;11,51;4,64
CASN4;CASAN;100;10;-16,67
EMAE3;EMAE;100;26,1;33,25
BPAR3;Banpará;100;182,7;20,58
APTI4;Aliperti;200;3500;-61,96
VSPT3;FCA;1000000;4999999,5;114,29
MTIG3;Metalgráfica Iguaçu;400;156,3;29,6
FIGE4;Investimentos Bemge;100;38,1;-4,97
LUXM3;Trevisa;200;10;7,99
TKNO3;Tekno;100;85,79;10,64
COCE6;Coelce;100;35;16,63
MGEL3;Mangels;100;75;8,7
CTSA8;Santanense;2000;1;0
MMAQ4;Minasmáquinas;14;200,6;-28,55
